"Column 0: 8.3252, Column 1: 41.0, Column 2: 6.984126984126984, Column 3: 1.0238095238095237, Column 4: 322.0, Column 5: 2.5555555555555554, Column 6: 37.88, Column 7: -122.23, Column 8: 4.526 "
"Column 0: 4.2955, Column 1: 23.0, Column 2: 4.502032520325203, Column 3: 0.9654471544715447, Column 4: 1278.0, Column 5: 2.597560975609756, Column 6: 37.53, Column 7: -121.96, Column 8: 2.188 "
"Column 0: 4.9615, Column 1: 28.0, Column 2: 5.411009174311927, Column 3: 0.9706422018348624, Column 4: 1538.0, Column 5: 2.8220183486238533, Column 6: 37.53, Column 7: -121.96, Column 8: 2.28 "
"Column 0: 2.6198, Column 1: 18.0, Column 2: 4.052901023890785, Column 3: 1.1126279863481228, Column 4: 1252.0, Column 5: 2.136518771331058, Column 6: 37.53, Column 7: -121.96, Column 8: 2.359 "
"Column 0: 4.7135, Column 1: 28.0, Column 2: 4.950749464668094, Column 3: 1.0620985010706638, Column 4: 1344.0, Column 5: 2.8779443254817987, Column 6: 37.54, Column 7: -121.97, Column 8: 2.032 "
"Column 0: 4.75, Column 1: 35.0, Column 2: 5.513317191283293, Column 3: 1.0169491525423728, Column 4: 1353.0, Column 5: 3.276029055690073, Column 6: 37.53, Column 7: -121.97, Column 8: 1.97 "
"Column 0: 5.4299, Column 1: 26.0, Column 2: 6.172413793103448, Column 3: 0.9532019704433498, Column 4: 1273.0, Column 5: 3.1354679802955663, Column 6: 37.53, Column 7: -121.97, Column 8: 2.364 "
"Column 0: 4.6, Column 1: 28.0, Column 2: 5.238888888888889, Column 3: 1.048148148148148, Column 4: 1610.0, Column 5: 2.9814814814814814, Column 6: 37.53, Column 7: -121.98, Column 8: 2.232 "
"Column 0: 4.1947, Column 1: 26.0, Column 2: 4.974960876369327, Column 3: 1.1001564945226916, Column 4: 2142.0, Column 5: 3.352112676056338, Column 6: 37.53, Column 7: -121.98, Column 8: 2.227 "
"Column 0: 5.388, Column 1: 26.0, Column 2: 5.772277227722772, Column 3: 0.9183168316831684, Column 4: 1285.0, Column 5: 3.1806930693069306, Column 6: 37.54, Column 7: -121.99, Column 8: 2.25 "
"Column 0: 3.9444, Column 1: 18.0, Column 2: 5.422087745839637, Column 3: 1.0816944024205748, Column 4: 1673.0, Column 5: 2.5310136157337366, Column 6: 37.54, Column 7: -121.99, Column 8: 2.401 "
"Column 0: 5.3283, Column 1: 28.0, Column 2: 5.903100775193798, Column 3: 0.9825581395348837, Column 4: 1772.0, Column 5: 3.434108527131783, Column 6: 37.54, Column 7: -121.99, Column 8: 2.279 "
"Column 0: 4.8403, Column 1: 28.0, Column 2: 5.328918322295806, Column 3: 0.9161147902869757, Column 4: 1106.0, Column 5: 2.4415011037527594, Column 6: 37.55, Column 7: -121.99, Column 8: 2.686 "
"Column 0: 5.1616, Column 1: 29.0, Column 2: 5.518024032042724, Column 3: 0.9933244325767691, Column 4: 2023.0, Column 5: 2.7009345794392523, Column 6: 37.54, Column 7: -122.0, Column 8: 2.751 "
"Column 0: 4.9167, Column 1: 34.0, Column 2: 5.963675213675214, Column 3: 1.0576923076923077, Column 4: 1276.0, Column 5: 2.7264957264957266, Column 6: 37.55, Column 7: -122.01, Column 8: 2.563 "
"Column 0: 4.1591, Column 1: 27.0, Column 2: 5.381834215167548, Column 3: 1.101410934744268, Column 4: 3026.0, Column 5: 2.6684303350970016, Column 6: 37.55, Column 7: -122.0, Column 8: 3.324 "
"Column 0: 5.0, Column 1: 32.0, Column 2: 6.511392405063291, Column 3: 1.0278481012658227, Column 4: 1128.0, Column 5: 2.8556962025316457, Column 6: 37.54, Column 7: -122.01, Column 8: 2.876 "
"Column 0: 5.8325, Column 1: 26.0, Column 2: 5.350140056022409, Column 3: 1.0392156862745099, Column 4: 852.0, Column 5: 2.3865546218487395, Column 6: 37.54, Column 7: -122.0, Column 8: 2.989 "
"Column 0: 5.7057, Column 1: 27.0, Column 2: 6.019108280254777, Column 3: 0.964968152866242, Column 4: 889.0, Column 5: 2.8312101910828025, Column 6: 37.53, Column 7: -122.01, Column 8: 2.876 "
"Column 0: 5.0423, Column 1: 25.0, Column 2: 5.85590465872156, Column 3: 1.017334777898158, Column 4: 2831.0, Column 5: 3.067172264355363, Column 6: 37.53, Column 7: -121.99, Column 8: 2.222 "
"Column 0: 4.5317, Column 1: 26.0, Column 2: 6.135399673735726, Column 3: 1.0163132137030995, Column 4: 1776.0, Column 5: 2.897226753670473, Column 6: 37.52, Column 7: -121.97, Column 8: 2.326 "
"Column 0: 5.4359, Column 1: 25.0, Column 2: 6.613095238095238, Column 3: 1.0138888888888888, Column 4: 1671.0, Column 5: 3.3154761904761907, Column 6: 37.51, Column 7: -121.97, Column 8: 2.583 "
"Column 0: 5.0824, Column 1: 23.0, Column 2: 5.508948545861298, Column 3: 1.0604026845637584, Column 4: 2530.0, Column 5: 2.829977628635347, Column 6: 37.52, Column 7: -121.97, Column 8: 2.309 "
"Column 0: 5.2308, Column 1: 33.0, Column 2: 5.234600262123198, Column 3: 1.001310615989515, Column 4: 2721.0, Column 5: 3.5661861074705112, Column 6: 37.52, Column 7: -121.95, Column 8: 1.969 "
"Column 0: 4.4107, Column 1: 22.0, Column 2: 5.350828729281768, Column 3: 1.0359116022099448, Column 4: 3215.0, Column 5: 2.960405156537753, Column 6: 37.51, Column 7: -121.96, Column 8: 2.235 "
"Column 0: 5.2396, Column 1: 26.0, Column 2: 5.737057220708447, Column 3: 1.0095367847411445, Column 4: 2352.0, Column 5: 3.204359673024523, Column 6: 37.52, Column 7: -121.96, Column 8: 2.239 "
"Column 0: 4.7478, Column 1: 27.0, Column 2: 5.7625, Column 3: 1.0135416666666666, Column 4: 2855.0, Column 5: 2.9739583333333335, Column 6: 37.53, Column 7: -121.93, Column 8: 2.435 "
"Column 0: 8.4045, Column 1: 7.0, Column 2: 7.63523372061605, Column 3: 1.0440421507700621, Column 4: 12203.0, Column 5: 3.2972169683869224, Column 6: 37.53, Column 7: -121.92, Column 8: 4.511 "
"Column 0: 9.7194, Column 1: 9.0, Column 2: 8.306260575296108, Column 3: 0.9763113367174281, Column 4: 1981.0, Column 5: 3.3519458544839256, Column 6: 37.49, Column 7: -121.89, Column 8: 5.00001 "
"Column 0: 5.1643, Column 1: 10.0, Column 2: 5.0757162346521145, Column 3: 1.0832196452933152, Column 4: 3571.0, Column 5: 2.4358799454297406, Column 6: 37.49, Column 7: -121.92, Column 8: 1.931 "
"Column 0: 5.3813, Column 1: 23.0, Column 2: 6.924558587479936, Column 3: 1.0850722311396468, Column 4: 1972.0, Column 5: 3.1653290529695024, Column 6: 37.48, Column 7: -121.92, Column 8: 2.644 "
"Column 0: 6.0878, Column 1: 26.0, Column 2: 5.647058823529412, Column 3: 0.9019607843137255, Column 4: 1105.0, Column 5: 3.0952380952380953, Column 6: 37.47, Column 7: -121.92, Column 8: 2.469 "
"Column 0: 6.868, Column 1: 13.0, Column 2: 7.075, Column 3: 0.9789473684210527, Column 4: 2759.0, Column 5: 3.6302631578947366, Column 6: 37.47, Column 7: -121.91, Column 8: 3.373 "
"Column 0: 6.992, Column 1: 22.0, Column 2: 6.529202279202279, Column 3: 0.9779202279202279, Column 4: 4319.0, Column 5: 3.076210826210826, Column 6: 37.55, Column 7: -122.03, Column 8: 2.848 "
"Column 0: 4.9118, Column 1: 26.0, Column 2: 6.391304347826087, Column 3: 1.1014492753623188, Column 4: 1597.0, Column 5: 3.3064182194616976, Column 6: 37.55, Column 7: -122.03, Column 8: 2.173 "
"Column 0: 4.4357, Column 1: 23.0, Column 2: 6.155339805825243, Column 3: 1.033009708737864, Column 4: 1446.0, Column 5: 2.8077669902912623, Column 6: 37.55, Column 7: -122.04, Column 8: 2.917 "
"Column 0: 4.9464, Column 1: 26.0, Column 2: 5.689655172413793, Column 3: 0.9787798408488063, Column 4: 1285.0, Column 5: 3.4084880636604775, Column 6: 37.54, Column 7: -122.04, Column 8: 2.238 "
"Column 0: 5.2882, Column 1: 25.0, Column 2: 5.987197724039829, Column 3: 1.0398293029871977, Column 4: 2568.0, Column 5: 3.6529160739687057, Column 6: 37.54, Column 7: -122.05, Column 8: 2.231 "
"Column 0: 5.1321, Column 1: 23.0, Column 2: 5.160388821385176, Column 3: 1.014580801944107, Column 4: 2357.0, Column 5: 2.8639125151883356, Column 6: 37.55, Column 7: -122.05, Column 8: 2.113 "
"Column 0: 3.9667, Column 1: 25.0, Column 2: 5.008988764044944, Column 3: 1.0359550561797752, Column 4: 2998.0, Column 5: 3.3685393258426966, Column 6: 37.53, Column 7: -122.04, Column 8: 2.185 "
"Column 0: 3.1696, Column 1: 17.0, Column 2: 4.07, Column 3: 0.97, Column 4: 307.0, Column 5: 3.07, Column 6: 37.5, Column 7: -122.04, Column 8: 1.563 "
"Column 0: 5.0838, Column 1: 20.0, Column 2: 6.116037735849057, Column 3: 1.0075471698113208, Column 4: 3526.0, Column 5: 3.3264150943396227, Column 6: 37.54, Column 7: -122.06, Column 8: 2.482 "
"Column 0: 4.8214, Column 1: 35.0, Column 2: 5.523668639053255, Column 3: 1.014792899408284, Column 4: 1213.0, Column 5: 3.588757396449704, Column 6: 37.54, Column 7: -122.03, Column 8: 1.86 "
"Column 0: 4.1406, Column 1: 6.0, Column 2: 4.566510172143975, Column 3: 1.051643192488263, Column 4: 1911.0, Column 5: 2.9906103286384975, Column 6: 37.54, Column 7: -122.03, Column 8: 1.782 "
"Column 0: 3.7364, Column 1: 34.0, Column 2: 4.9593147751606, Column 3: 1.0235546038543897, Column 4: 1524.0, Column 5: 3.26338329764454, Column 6: 37.53, Column 7: -122.04, Column 8: 1.904 "
"Column 0: 3.535, Column 1: 31.0, Column 2: 5.254237288135593, Column 3: 1.11864406779661, Column 4: 719.0, Column 5: 3.0466101694915255, Column 6: 37.54, Column 7: -122.02, Column 8: 2.103 "
"Column 0: 5.0739, Column 1: 16.0, Column 2: 5.124137931034483, Column 3: 0.9839080459770115, Column 4: 3038.0, Column 5: 3.4919540229885055, Column 6: 37.54, Column 7: -122.03, Column 8: 2.08 "
"Column 0: 3.256, Column 1: 18.0, Column 2: 4.321782178217822, Column 3: 1.0816831683168318, Column 4: 1268.0, Column 5: 3.1386138613861387, Column 6: 37.53, Column 7: -122.03, Column 8: 1.833 "
"Column 0: 6.0667, Column 1: 19.0, Column 2: 6.44851904090268, Column 3: 1.004231311706629, Column 4: 2346.0, Column 5: 3.308885754583921, Column 6: 37.53, Column 7: -122.01, Column 8: 2.457 "
"Column 0: 5.7072, Column 1: 21.0, Column 2: 6.284875183553598, Column 3: 0.9882525697503671, Column 4: 2216.0, Column 5: 3.2540381791483113, Column 6: 37.53, Column 7: -122.02, Column 8: 2.422 "
"Column 0: 4.9867, Column 1: 7.0, Column 2: 4.826747720364741, Column 3: 1.0562310030395137, Column 4: 3223.0, Column 5: 2.4490881458966567, Column 6: 37.51, Column 7: -122.0, Column 8: 1.817 "
"Column 0: 5.1437, Column 1: 4.0, Column 2: 4.96480743691899, Column 3: 1.046480743691899, Column 4: 2937.0, Column 5: 1.950199203187251, Column 6: 37.72, Column 7: -121.92, Column 8: 2.994 "
"Column 0: 5.347, Column 1: 22.0, Column 2: 6.751091703056769, Column 3: 1.042212518195051, Column 4: 2302.0, Column 5: 3.3508005822416305, Column 6: 37.72, Column 7: -121.92, Column 8: 2.195 "
"Column 0: 5.7233, Column 1: 25.0, Column 2: 6.523099850968704, Column 3: 0.9955290611028316, Column 4: 2038.0, Column 5: 3.03725782414307, Column 6: 37.71, Column 7: -121.91, Column 8: 2.318 "
"Column 0: 4.4697, Column 1: 26.0, Column 2: 5.94392523364486, Column 3: 0.9922118380062306, Column 4: 1935.0, Column 5: 3.014018691588785, Column 6: 37.72, Column 7: -121.93, Column 8: 2.213 "
"Column 0: 4.9107, Column 1: 26.0, Column 2: 6.31981981981982, Column 3: 1.0337837837837838, Column 4: 1453.0, Column 5: 3.2725225225225225, Column 6: 37.72, Column 7: -121.93, Column 8: 2.138 "
"Column 0: 4.2281, Column 1: 26.0, Column 2: 5.990062111801242, Column 3: 1.049689440993789, Column 4: 2288.0, Column 5: 2.8422360248447207, Column 6: 37.71, Column 7: -121.93, Column 8: 2.06 "
"Column 0: 5.0143, Column 1: 15.0, Column 2: 6.67319587628866, Column 3: 1.0587628865979382, Column 4: 2484.0, Column 5: 2.560824742268041, Column 6: 37.71, Column 7: -121.94, Column 8: 2.711 "
"Column 0: 7.2494, Column 1: 6.0, Column 2: 7.60075329566855, Column 3: 0.9887005649717514, Column 4: 3386.0, Column 5: 3.1883239171374766, Column 6: 37.71, Column 7: -121.96, Column 8: 3.365 "
"Column 0: 5.1406, Column 1: 46.0, Column 2: 6.153846153846154, Column 3: 1.0048076923076923, Column 4: 512.0, Column 5: 2.4615384615384617, Column 6: 37.64, Column 7: -121.92, Column 8: 3.156 "
"Column 0: 8.3337, Column 1: 24.0, Column 2: 7.915, Column 3: 1.06, Column 4: 1081.0, Column 5: 2.7025, Column 6: 37.66, Column 7: -121.93, Column 8: 5.00001 "
"Column 0: 7.316, Column 1: 13.0, Column 2: 6.694096601073345, Column 3: 0.9928443649373881, Column 4: 1590.0, Column 5: 2.8443649373881934, Column 6: 37.69, Column 7: -121.92, Column 8: 2.854 "
"Column 0: 6.4994, Column 1: 18.0, Column 2: 6.634080717488789, Column 3: 1.0197309417040359, Column 4: 3126.0, Column 5: 2.8035874439461885, Column 6: 37.66, Column 7: -121.9, Column 8: 3.23 "
"Column 0: 7.2211, Column 1: 23.0, Column 2: 7.557077625570776, Column 3: 1.0182648401826484, Column 4: 706.0, Column 5: 3.223744292237443, Column 6: 37.68, Column 7: -121.92, Column 8: 2.919 "
"Column 0: 4.4087, Column 1: 3.0, Column 2: 5.385964912280702, Column 3: 1.2763157894736843, Column 4: 793.0, Column 5: 1.7390350877192982, Column 6: 37.7, Column 7: -121.93, Column 8: 2.256 "
"Column 0: 5.9345, Column 1: 23.0, Column 2: 7.287625418060201, Column 3: 1.0301003344481605, Column 4: 926.0, Column 5: 3.096989966555184, Column 6: 37.69, Column 7: -121.91, Column 8: 2.596 "
"Column 0: 6.177, Column 1: 20.0, Column 2: 6.938461538461539, Column 3: 0.9769230769230769, Column 4: 831.0, Column 5: 3.1961538461538463, Column 6: 37.68, Column 7: -121.91, Column 8: 2.629 "
"Column 0: 5.817, Column 1: 18.0, Column 2: 6.982692307692307, Column 3: 1.051923076923077, Column 4: 1700.0, Column 5: 3.269230769230769, Column 6: 37.68, Column 7: -121.91, Column 8: 2.573 "
"Column 0: 6.3132, Column 1: 18.0, Column 2: 6.73536299765808, Column 3: 0.990632318501171, Column 4: 1395.0, Column 5: 3.2669789227166275, Column 6: 37.69, Column 7: -121.91, Column 8: 2.592 "
"Column 0: 6.3373, Column 1: 12.0, Column 2: 6.59330985915493, Column 3: 1.0625, Column 4: 3329.0, Column 5: 2.930457746478873, Column 6: 37.68, Column 7: -121.89, Column 8: 3.397 "
"Column 0: 7.333, Column 1: 23.0, Column 2: 7.811188811188811, Column 3: 0.9440559440559441, Column 4: 854.0, Column 5: 2.986013986013986, Column 6: 37.68, Column 7: -121.88, Column 8: 3.372 "
"Column 0: 6.2918, Column 1: 22.0, Column 2: 7.746938775510204, Column 3: 0.9755102040816327, Column 4: 734.0, Column 5: 2.9959183673469387, Column 6: 37.68, Column 7: -121.89, Column 8: 3.341 "
"Column 0: 6.5214, Column 1: 16.0, Column 2: 7.053726169844021, Column 3: 1.0814558058925476, Column 4: 1543.0, Column 5: 2.6741767764298094, Column 6: 37.67, Column 7: -121.88, Column 8: 3.115 "
"Column 0: 6.4524, Column 1: 25.0, Column 2: 6.925925925925926, Column 3: 0.9290123456790124, Column 4: 937.0, Column 5: 2.8919753086419755, Column 6: 37.67, Column 7: -121.88, Column 8: 2.969 "
"Column 0: 6.0604, Column 1: 20.0, Column 2: 6.219409282700422, Column 3: 0.9936708860759493, Column 4: 1181.0, Column 5: 2.4915611814345993, Column 6: 37.67, Column 7: -121.89, Column 8: 2.479 "
"Column 0: 6.5285, Column 1: 19.0, Column 2: 6.894915254237288, Column 3: 0.976271186440678, Column 4: 852.0, Column 5: 2.888135593220339, Column 6: 37.67, Column 7: -121.89, Column 8: 3.004 "
"Column 0: 7.2639, Column 1: 15.0, Column 2: 7.473684210526316, Column 3: 0.9578947368421052, Column 4: 876.0, Column 5: 3.0736842105263156, Column 6: 37.67, Column 7: -121.9, Column 8: 3.324 "
"Column 0: 7.4353, Column 1: 7.0, Column 2: 7.762408462164362, Column 3: 1.0528885272579334, Column 4: 3926.0, Column 5: 3.1944670463791702, Column 6: 37.67, Column 7: -121.9, Column 8: 3.898 "
"Column 0: 3.1127, Column 1: 29.0, Column 2: 4.2087227414330215, Column 3: 1.0591900311526479, Column 4: 1360.0, Column 5: 2.1183800623052957, Column 6: 37.66, Column 7: -121.88, Column 8: 2.33 "
"Column 0: 2.4896, Column 1: 39.0, Column 2: 5.117647058823529, Column 3: 1.1372549019607843, Column 4: 161.0, Column 5: 1.5784313725490196, Column 6: 37.66, Column 7: -121.87, Column 8: 2.385 "
"Column 0: 5.0677, Column 1: 52.0, Column 2: 6.300813008130081, Column 3: 1.089430894308943, Column 4: 315.0, Column 5: 2.5609756097560976, Column 6: 37.66, Column 7: -121.87, Column 8: 2.333 "
"Column 0: 2.1187, Column 1: 3.0, Column 2: 3.3947939262472886, Column 3: 1.0065075921908895, Column 4: 769.0, Column 5: 1.668112798264642, Column 6: 37.66, Column 7: -121.89, Column 8: 2.313 "
"Column 0: 10.9506, Column 1: 20.0, Column 2: 7.6104651162790695, Column 3: 1.069767441860465, Column 4: 514.0, Column 5: 2.988372093023256, Column 6: 37.64, Column 7: -121.88, Column 8: 4.758 "
"Column 0: 7.0691, Column 1: 13.0, Column 2: 6.6896969696969695, Column 3: 1.0096969696969698, Column 4: 2444.0, Column 5: 2.9624242424242424, Column 6: 37.57, Column 7: -121.87, Column 8: 3.932 "
"Column 0: 5.5, Column 1: 10.0, Column 2: 5.837146702557201, Column 3: 1.0767160161507403, Column 4: 1813.0, Column 5: 2.440107671601615, Column 6: 37.67, Column 7: -121.87, Column 8: 2.472 "
"Column 0: 4.9879, Column 1: 28.0, Column 2: 6.517985611510792, Column 3: 1.0575539568345325, Column 4: 853.0, Column 5: 3.068345323741007, Column 6: 37.67, Column 7: -121.87, Column 8: 2.294 "
"Column 0: 6.8132, Column 1: 4.0, Column 2: 6.359838274932614, Column 3: 0.9986522911051213, Column 4: 1895.0, Column 5: 2.5539083557951483, Column 6: 37.68, Column 7: -121.85, Column 8: 2.825 "
"Column 0: 5.6399, Column 1: 14.0, Column 2: 6.389140271493213, Column 3: 1.057315233785822, Column 4: 1833.0, Column 5: 2.764705882352941, Column 6: 37.66, Column 7: -121.85, Column 8: 3.006 "
"Column 0: 4.1597, Column 1: 22.0, Column 2: 5.678125, Column 3: 1.0375, Column 4: 1699.0, Column 5: 2.6546875, Column 6: 37.66, Column 7: -121.86, Column 8: 2.932 "
"Column 0: 5.7519, Column 1: 27.0, Column 2: 7.331775700934579, Column 3: 1.1308411214953271, Column 4: 583.0, Column 5: 2.7242990654205608, Column 6: 37.66, Column 7: -121.87, Column 8: 2.785 "
"Column 0: 5.6417, Column 1: 13.0, Column 2: 6.76, Column 3: 1.0635897435897437, Column 4: 4847.0, Column 5: 2.4856410256410255, Column 6: 37.66, Column 7: -121.84, Column 8: 3.529 "
"Column 0: 10.3203, Column 1: 43.0, Column 2: 5.428571428571429, Column 3: 0.9523809523809523, Column 4: 83.0, Column 5: 1.9761904761904763, Column 6: 37.72, Column 7: -121.85, Column 8: 4.0 "
"Column 0: 4.3472, Column 1: 47.0, Column 2: 6.0476190476190474, Column 3: 1.0952380952380953, Column 4: 51.0, Column 5: 2.4285714285714284, Column 6: 37.73, Column 7: -121.82, Column 8: 3.75 "
"Column 0: 6.6827, Column 1: 13.0, Column 2: 6.916606757728253, Column 3: 0.9662113587347232, Column 4: 4389.0, Column 5: 3.1552839683680807, Column 6: 37.7, Column 7: -121.86, Column 8: 3.137 "
"Column 0: 3.62, Column 1: 4.0, Column 2: 4.9629331184528604, Column 3: 1.216760676873489, Column 4: 2649.0, Column 5: 2.1345688960515714, Column 6: 37.69, Column 7: -121.89, Column 8: 1.393 "
"Column 0: 7.3588, Column 1: 16.0, Column 2: 7.447916666666667, Column 3: 0.9618055555555556, Column 4: 1952.0, Column 5: 3.388888888888889, Column 6: 37.65, Column 7: -121.77, Column 8: 3.275 "
"Column 0: 5.7239, Column 1: 26.0, Column 2: 6.401433691756273, Column 3: 1.096774193548387, Column 4: 771.0, Column 5: 2.763440860215054, Column 6: 37.61, Column 7: -121.62, Column 8: 4.306 "
"Column 0: 4.2083, Column 1: 32.0, Column 2: 6.9655172413793105, Column 3: 1.2758620689655173, Column 4: 144.0, Column 5: 2.4827586206896552, Column 6: 37.77, Column 7: -121.61, Column 8: 1.25 "
"Column 0: 6.1023, Column 1: 17.0, Column 2: 6.630952380952381, Column 3: 1.3968253968253967, Column 4: 729.0, Column 5: 2.892857142857143, Column 6: 37.7, Column 7: -121.72, Column 8: 4.5 "
"Column 0: 3.9864, Column 1: 12.0, Column 2: 5.2558575445173386, Column 3: 0.9831302717900656, Column 4: 2595.0, Column 5: 2.4320524835988753, Column 6: 37.71, Column 7: -121.73, Column 8: 2.002 "
"Column 0: 4.8624, Column 1: 11.0, Column 2: 5.68, Column 3: 1.0447058823529412, Column 4: 5826.0, Column 5: 2.7416470588235295, Column 6: 37.71, Column 7: -121.75, Column 8: 1.924 "
"Column 0: 9.1531, Column 1: 25.0, Column 2: 5.811764705882353, Column 3: 0.9529411764705882, Column 4: 254.0, Column 5: 2.988235294117647, Column 6: 37.74, Column 7: -121.77, Column 8: 4.188 "
"Column 0: 4.7361, Column 1: 22.0, Column 2: 6.08021978021978, Column 3: 1.0362637362637364, Column 4: 2474.0, Column 5: 2.718681318681319, Column 6: 37.7, Column 7: -121.8, Column 8: 2.168 "
"Column 0: 5.4324, Column 1: 17.0, Column 2: 5.97583081570997, Column 3: 0.9652567975830816, Column 4: 2222.0, Column 5: 3.3564954682779455, Column 6: 37.69, Column 7: -121.8, Column 8: 2.155 "
"Column 0: 4.9375, Column 1: 12.0, Column 2: 5.974921630094044, Column 3: 1.1003134796238245, Column 4: 802.0, Column 5: 2.5141065830721003, Column 6: 37.69, Column 7: -121.82, Column 8: 2.277 "
"Column 0: 3.3841, Column 1: 29.0, Column 2: 4.842031029619182, Column 3: 1.002820874471086, Column 4: 1919.0, Column 5: 2.706629055007052, Column 6: 37.69, Column 7: -121.76, Column 8: 1.844 "
"Column 0: 3.5532, Column 1: 36.0, Column 2: 4.53494623655914, Column 3: 1.0, Column 4: 950.0, Column 5: 2.553763440860215, Column 6: 37.68, Column 7: -121.77, Column 8: 1.584 "
"Column 0: 3.3618, Column 1: 34.0, Column 2: 5.114967462039045, Column 3: 1.0802603036876355, Column 4: 1157.0, Column 5: 2.509761388286334, Column 6: 37.69, Column 7: -121.78, Column 8: 1.746 "
"Column 0: 4.3533, Column 1: 35.0, Column 2: 4.9877622377622375, Column 3: 1.027972027972028, Column 4: 1761.0, Column 5: 3.0786713286713288, Column 6: 37.69, Column 7: -121.78, Column 8: 1.684 "
"Column 0: 4.5357, Column 1: 25.0, Column 2: 6.013371537726838, Column 3: 1.0334288443170965, Column 4: 3200.0, Column 5: 3.0563514804202483, Column 6: 37.69, Column 7: -121.79, Column 8: 1.884 "
"Column 0: 5.7068, Column 1: 9.0, Column 2: 5.861561119293078, Column 3: 1.0839469808541973, Column 4: 1705.0, Column 5: 2.5110456553755522, Column 6: 37.7, Column 7: -121.76, Column 8: 2.567 "
"Column 0: 3.7212, Column 1: 26.0, Column 2: 5.07088122605364, Column 3: 1.0268199233716475, Column 4: 1422.0, Column 5: 2.7241379310344827, Column 6: 37.69, Column 7: -121.75, Column 8: 1.838 "
"Column 0: 5.2443, Column 1: 35.0, Column 2: 6.673003802281369, Column 3: 1.1368821292775666, Column 4: 702.0, Column 5: 2.6692015209125475, Column 6: 37.68, Column 7: -121.75, Column 8: 1.834 "
"Column 0: 4.2361, Column 1: 35.0, Column 2: 5.340974212034384, Column 3: 1.0229226361031518, Column 4: 1189.0, Column 5: 3.4068767908309456, Column 6: 37.68, Column 7: -121.76, Column 8: 1.775 "
"Column 0: 3.1856, Column 1: 32.0, Column 2: 5.472081218274112, Column 3: 1.0507614213197969, Column 4: 555.0, Column 5: 2.817258883248731, Column 6: 37.68, Column 7: -121.76, Column 8: 1.869 "
"Column 0: 5.4496, Column 1: 17.0, Column 2: 6.1809899787427875, Column 3: 1.0607348921955664, Column 4: 8768.0, Column 5: 2.662617673853629, Column 6: 37.68, Column 7: -121.73, Column 8: 2.389 "
"Column 0: 3.0222, Column 1: 17.0, Column 2: 4.576470588235294, Column 3: 1.2823529411764707, Column 4: 1392.0, Column 5: 2.0470588235294116, Column 6: 37.68, Column 7: -121.78, Column 8: 1.725 "
"Column 0: 2.6667, Column 1: 44.0, Column 2: 4.541284403669724, Column 3: 1.0275229357798166, Column 4: 277.0, Column 5: 2.541284403669725, Column 6: 37.68, Column 7: -121.77, Column 8: 1.792 "
"Column 0: 3.7301, Column 1: 52.0, Column 2: 5.147971360381861, Column 3: 0.9976133651551312, Column 4: 929.0, Column 5: 2.217183770883055, Column 6: 37.68, Column 7: -121.76, Column 8: 2.044 "
"Column 0: 4.6806, Column 1: 41.0, Column 2: 5.211805555555555, Column 3: 1.0381944444444444, Column 4: 629.0, Column 5: 2.1840277777777777, Column 6: 37.68, Column 7: -121.77, Column 8: 2.094 "
"Column 0: 5.7907, Column 1: 20.0, Column 2: 6.408260524225576, Column 3: 0.9666401906274821, Column 4: 3489.0, Column 5: 2.7712470214455918, Column 6: 37.67, Column 7: -121.77, Column 8: 2.642 "
"Column 0: 6.3705, Column 1: 6.0, Column 2: 6.4594017094017095, Column 3: 1.106837606837607, Column 4: 1225.0, Column 5: 2.6175213675213675, Column 6: 37.67, Column 7: -121.76, Column 8: 3.5 "
"Column 0: 5.2649, Column 1: 26.0, Column 2: 6.88785046728972, Column 3: 1.071651090342679, Column 4: 1024.0, Column 5: 3.190031152647975, Column 6: 37.67, Column 7: -121.78, Column 8: 1.998 "
"Column 0: 6.0797, Column 1: 26.0, Column 2: 6.2514450867052025, Column 3: 0.9797687861271677, Column 4: 947.0, Column 5: 2.7369942196531793, Column 6: 37.67, Column 7: -121.79, Column 8: 2.11 "
"Column 0: 4.8571, Column 1: 28.0, Column 2: 6.591078066914498, Column 3: 1.033457249070632, Column 4: 804.0, Column 5: 2.9888475836431225, Column 6: 37.67, Column 7: -121.78, Column 8: 2.011 "
"Column 0: 3.8523, Column 1: 25.0, Column 2: 5.5, Column 3: 1.1807909604519775, Column 4: 900.0, Column 5: 2.542372881355932, Column 6: 37.66, Column 7: -121.78, Column 8: 1.93 "
"Column 0: 5.98, Column 1: 22.0, Column 2: 6.586469534050179, Column 3: 0.9901433691756273, Column 4: 6693.0, Column 5: 2.9986559139784945, Column 6: 37.66, Column 7: -121.79, Column 8: 2.45 "
"Column 0: 2.45, Column 1: 17.0, Column 2: 8.973684210526315, Column 3: 1.855263157894737, Column 4: 338.0, Column 5: 2.223684210526316, Column 6: 38.69, Column 7: -119.78, Column 8: 1.176 "
"Column 0: 2.2417, Column 1: 15.0, Column 2: 10.51530612244898, Column 3: 2.372448979591837, Column 4: 573.0, Column 5: 2.923469387755102, Column 6: 38.72, Column 7: -119.93, Column 8: 0.979 "
"Column 0: 3.15, Column 1: 16.0, Column 2: 29.852941176470587, Column 3: 5.323529411764706, Column 4: 202.0, Column 5: 1.9803921568627452, Column 6: 38.52, Column 7: -120.0, Column 8: 1.406 "
